2026-01-17 10:36:37,940 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 10:36:39,903 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:03,219 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 10:37:03,322 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:13,108 - INFO - Phone migrated to 4
2026-01-17 10:37:13,234 - INFO - Reconnecting to new data center 4
2026-01-17 10:37:13,392 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-17 10:37:13,393 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:13,393 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-01-17 10:37:14,790 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-01-17 10:38:14,657 - INFO - Starting scrape for channel: lobelia4cosmetics
2026-01-17 10:39:53,085 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:53,292 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:53,705 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:53,828 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:53,975 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:54,370 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:54,573 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:54,764 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:54,963 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:55,156 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:55,329 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:55,536 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:55,668 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:55,788 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:56,158 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:56,506 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:56,639 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:56,802 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:57,173 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:57,303 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:57,468 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
